,context,id,identifier,image,note,reading,sign,tablet
5853,DINGIR.UTU,6536,fc6f918e-eed1-40a7-810a-2e1c921bd90f__bm-49371,glyph_img/fc6f918e-eed1-40a7-810a-2e1c921bd90f__bm-49371.png,DN,UTU,138,371
5854,DINGIR.UTU,6535,a3837075-4317-494e-bb0f-b2b7b3294899__bm-49371,glyph_img/a3837075-4317-494e-bb0f-b2b7b3294899__bm-49371.png,DN,DINGIR,179,371
5855,šá,6534,fa6e0b01-ec3c-43f0-a311-0ab16f03d228__bm-49371,glyph_img/fa6e0b01-ec3c-43f0-a311-0ab16f03d228__bm-49371.png,,šá,11,371
5856,LÚ.SIPA-ú,6533,eda66b4d-19ab-4b00-9cf3-f1ca1fdb5546__bm-49371,glyph_img/eda66b4d-19ab-4b00-9cf3-f1ca1fdb5546__bm-49371.png,,ú,124,371
5857,LÚ.SIPA,6532,699aa453-3aca-42a5-b508-5c387a1ff156__bm-49371,glyph_img/699aa453-3aca-42a5-b508-5c387a1ff156__bm-49371.png,,SIPA,203,371
5858,LÚ.SIPA,6531,d4147d2e-bd9a-4ee1-a92e-584aeb087902__bm-49371,glyph_img/d4147d2e-bd9a-4ee1-a92e-584aeb087902__bm-49371.png,,LÚ,128,371
5859,HI.A,6530,2ffca78e-fffb-4e2d-9113-ee9587ccd1e4__ybc-9533,glyph_img/2ffca78e-fffb-4e2d-9113-ee9587ccd1e4__ybc-9533.png,,A,107,370
5860,SÍK.HI.A,6529,c07ead6a-d6d5-4486-b9ca-7a741f912bd1__ybc-9533,glyph_img/c07ead6a-d6d5-4486-b9ca-7a741f912bd1__ybc-9533.png,,SÍK,6,370
5861,MU 36.KAM,6528,39f99609-5836-4cd7-8b83-119fd7e5ab10__ybc-9533,glyph_img/39f99609-5836-4cd7-8b83-119fd7e5ab10__ybc-9533.png,,MU,174,370
5862,ku-um,6527,927a5762-8d03-4bda-97ad-ddaeedaad332__ybc-9533,glyph_img/927a5762-8d03-4bda-97ad-ddaeedaad332__ybc-9533.png,,um,153,370
